lookback,units,dropout,batch_size,garch_vol,garch_p,garch_q,garch_dist,eval_rmse,eval_qlike,n_eval_forecasts
60,64,0.01,32,Garch,1,2,t,0.0008251509538310313,-6.442039772050995,523
60,64,0.01,32,Garch,2,1,t,0.000824119091565534,-6.443553686591696,523
60,64,0.01,32,Garch,2,2,t,0.0008210805714123576,-6.450178526727955,523
60,64,0.1,32,Garch,1,1,t,0.0008422430015567375,-6.413929822638921,523
60,64,0.1,32,Garch,1,2,t,0.0008256746445739854,-6.442906941617966,523
60,64,0.1,32,Garch,2,1,t,0.0008262739033290349,-6.442544250501081,523
60,64,0.1,32,Garch,2,2,t,0.0008231844021059074,-6.4453314528816845,523
60,64,0.2,32,Garch,1,1,t,0.0008491849767889799,-6.402339854433457,523
60,64,0.2,32,Garch,1,2,t,0.0008273761702075754,-6.437735382842371,523
60,64,0.2,32,Garch,2,1,t,0.0008339606292768666,-6.429434927196388,523
60,64,0.2,32,Garch,2,2,t,0.0008236549094289663,-6.444735011330755,523
