date,forecast_origin_date,actual_target,pred_target,actual_var,pred_var,qlike,error_sq
2025-07-21,2025-07-20,-8.187967077090944,-8.01041441479444,0.0002779784189144998,0.00033198711010234245,0.014869614443009382,2.916938723823754e-09
2025-07-22,2025-07-21,-7.6764981848590805,-7.557661770127734,0.00046359548531809997,0.0005220945949459774,0.006789481111534323,3.422145827254426e-09
2025-07-23,2025-07-22,-8.10153777481356,-8.107970127150493,0.0003030727219507998,0.0003011295078384782,2.0729863408064375e-05,3.776081086325773e-12
2025-07-24,2025-07-23,-8.27142945283693,-8.418608055165624,0.00025571949092050006,0.00022072167149452584,0.011382192055220619,1.2248473645730986e-09
2025-07-25,2025-07-24,-7.4819852365785575,-8.08696849562009,0.0005631383422917002,0.0003075205955322019,0.22623802288597217,6.534043245840303e-08
2025-07-26,2025-07-25,-9.942638730524735,-7.171336420868538,4.8080266229918286e-05,0.00076829527898168,1.8338828841920627,5.187096645930203e-07
2025-07-27,2025-07-26,-9.583971434668252,-8.140837462417961,6.882307790064053e-05,0.000291393065282727,0.6793206303480579,4.953739928326214e-08
2025-07-28,2025-07-27,-9.089766918612384,-8.146961832243603,0.00011281436038650001,0.0002896139200190898,0.33233892309077717,3.125808428627767e-08
2025-07-29,2025-07-28,-8.701602943394331,-7.9933982368861685,0.00016631899726310002,0.00033768459909915114,0.20073249265544124,2.9366169492632004e-08
2025-07-30,2025-07-29,-8.060632870391295,-8.977910308447333,0.0003157269278356,0.0001261662207070904,0.5851893539227517,3.59332616870606e-08
2025-07-31,2025-07-30,-8.342374653643908,-7.796679807384572,0.00023820601400640005,0.0004110976389262302,0.1251339709516699,2.989151396741923e-08
2025-08-01,2025-07-31,-7.459770951048464,-8.162916322488575,0.0005757880400314,0.0002850299423067788,0.316950950237078,8.454027139244038e-08
2025-08-02,2025-08-01,-8.828857139888974,-7.286339899836096,0.00014644551061499992,0.0006848300177021647,0.756359486223916,2.8985787747148946e-07
2025-08-03,2025-08-02,-9.839489736776672,-8.41328729424069,5.330450350809037e-05,0.0002218992086583103,0.6664222243388778,2.84241746046896e-08
2025-08-04,2025-08-03,-8.955763594239917,-8.158049891423572,0.00012899155843400012,0.00028642040141508895,0.2480713336309046,2.4783840602364325e-08
2025-08-05,2025-08-04,-8.08982438102969,-7.578659060070254,0.0003066436048388,0.0005112463141753323,0.11096161553774109,4.186226866784952e-08
2025-08-06,2025-08-05,-8.66401756258237,-8.70908850698476,0.0001726891220091999,0.0001650786539588724,0.0010311000330425202,5.79192239450555e-11
2025-08-07,2025-08-06,-8.219721422921651,-8.277401459725358,0.0002692900724990999,0.0002541968833958273,0.0016959199903585631,2.278043573071477e-10
2025-08-08,2025-08-07,-8.989408904052164,-7.842753694076513,0.00012472379518289995,0.0003925864877435577,0.46435300984135575,7.175042206584548e-08
2025-08-09,2025-08-08,-9.840416407252723,-8.442698607061592,5.325513067815387e-05,0.00021546790180354975,0.6448785397552912,2.631298311618007e-08
2025-08-10,2025-08-09,-8.319197597980791,-8.412718866150023,0.00024379140447940013,0.00022202537825758372,0.0045126439414631125,4.737598974887994e-10
2025-08-11,2025-08-10,-7.545163562709108,-8.137072380355603,0.0005286607888397999,0.0002924922520516207,0.21552609520386246,5.577557776866955e-08
2025-08-12,2025-08-11,-8.646733476363558,-7.907348479358723,0.00017569983948190004,0.00036802912483313696,0.21679257125814355,3.6990554003717515e-08
2025-08-13,2025-08-12,-7.782922440749326,-8.70160435152616,0.0004167923421104999,0.00016631876306419098,0.5873022838702173,6.273701380026757e-08
2025-08-14,2025-08-13,-7.537145008502358,-8.049520777931026,0.0005329169252576,0.00031925487981204564,0.15687626720787495,4.565146966397812e-08
2025-08-15,2025-08-14,-8.721701702604717,-7.7551522775810735,0.0001630095609725001,0.00042852894287241314,0.3469429215294215,7.050054216451186e-08
2025-08-16,2025-08-15,-9.64132683008897,-7.952229019123261,6.498677111504105e-05,0.00035187694937427076,0.87378411327107,8.230597438161258e-08
2025-08-17,2025-08-16,-9.323926190809926,-8.289018525282973,8.926275888654032e-05,0.00025126094803215815,0.3901671042089716,2.6243413286459374e-08
2025-08-18,2025-08-17,-8.076598787499556,-8.304248511327025,0.0003107260856231998,0.0002474632402256858,0.027995598586100456,4.002187607789759e-09
2025-08-19,2025-08-18,-7.926644834196817,-8.072245149500002,0.00036099558334889997,0.0003120818235717408,0.011133401335583937,2.3925558955376367e-09
2025-08-20,2025-08-19,-8.051147478948236,-7.971495154108135,0.0003187359697444998,0.00034516252872598865,0.003089693830434337,6.98363019602108e-10
2025-08-21,2025-08-20,-8.839166940734707,-8.217581465709925,0.0001449434428801999,0.0002698669587676058,0.15867786244741833,1.560588482167095e-08
2025-08-22,2025-08-21,-6.881054222803997,-7.5955104256097865,0.0010270607234081001,0.000502703298555272,0.32861895117128315,2.7495070899828925e-07
