,realized_variance,realized_volatility
2022-02-04,0.003246654498423106,0.056979421710149934
2022-02-05,0.000388314206492031,0.019705689698460975
2022-02-06,0.0006110028515953687,0.02471847187014943
2022-02-07,0.0008994104179635302,0.02999017202290661
2022-02-08,0.0017363468549707241,0.04166949549695465
2022-02-09,0.0007315885211020877,0.027047893099132282
2022-02-10,0.002088648383867376,0.04570173283221738
2022-02-11,0.001170728584630124,0.03421591127867449
2022-02-12,0.0007293962061086176,0.02700733615350869
2022-02-13,0.0003835732377086235,0.019585025854172967
2022-02-14,0.0006544676754465919,0.025582565849550588
2022-02-15,0.0007194505286326753,0.026822574981397205
2022-02-16,0.0004088688369632517,0.020220505358750352
2022-02-17,0.001160322904162002,0.03406351279833015
2022-02-18,0.0007135275597851518,0.02671193665358526
2022-02-19,0.00025337852115383034,0.015917867983930207
2022-02-20,0.0010253705767508106,0.032021408100688056
2022-02-21,0.0037592127462565137,0.061312419184505466
2022-02-22,0.0009910956996186803,0.03148167243998769
2022-02-23,0.0009643276843725138,0.03105362594565269
2022-02-24,0.004626891834261453,0.06802126016372714
2022-02-25,0.0013578307513998108,0.03684875508616011
2022-02-26,0.0006056427700764934,0.02460981044373348
2022-02-27,0.0027638944711770967,0.052572754076394904
2022-02-28,0.00472777853240005,0.0687588433032439
2022-03-01,0.0013951089647094247,0.03735115747482834
2022-03-02,0.0016381459748182497,0.04047401604509058
2022-03-03,0.0010848021573579892,0.032936334910824386
2022-03-04,0.00125781002593829,0.03546561751807362
2022-03-05,0.00028418512966488615,0.01685779136378447
2022-03-06,0.0009763550223467778,0.031246680181209296
2022-03-07,0.0015186308593793313,0.03896961456544485
2022-03-08,0.0009895168026808562,0.031456585998497294
2022-03-09,0.002662487289633103,0.05159929543737107
2022-03-10,0.0019186171605063739,0.04380202233352216
2022-03-11,0.0018998930240061694,0.04358776231932731
2022-03-12,0.0002646940965586631,0.016269422133519774
2022-03-13,0.0009145372424883213,0.03024131681141417
2022-03-14,0.0007241075887352774,0.026909247271807463
2022-03-15,0.0009026539181440554,0.030044199409271256
2022-03-16,0.00454678790540983,0.06742987398334532
2022-03-17,0.000393441293181571,0.01983535462706858
2022-03-18,0.0007055511640928619,0.02656221308725728
2022-03-19,0.00015995410159009123,0.012647296216586819
2022-03-20,0.00020098577268632382,0.014176945111212211
2022-03-21,0.0004977772391669481,0.0223109219703478
2022-03-22,0.001255450690016419,0.03543233960686789
2022-03-23,0.000553154547134905,0.023519237809395632
2022-03-24,0.0004964294370891121,0.022280696512656694
2022-03-25,0.0004273331516387093,0.02067203791692317
2022-03-26,0.00010081038000161623,0.01004043724155558
2022-03-27,0.0010191706928283624,0.03192445289787066
2022-03-28,0.0003916558330276166,0.019790296436072316
2022-03-29,0.0003082692297281137,0.0175575974930545
2022-03-30,0.0005347767773921451,0.02312524113154596
